004,005,7
006,007,17
008,,17
009,,17
010,0043,7
044,,8
045,,7
046,048,8
049,139,7
140,147,6
148,149,7
150,179,6
180,194,7
195,241,6
242,,5
243,286,6
287,293,5
294,295,6
296,,5
297,,6
298,328,5
329,334,6
335,347,5
349,,6
350,364,5
365,366,4
367,368,5
369,,4
370,374,5
375,,4
376,379,5
380,381,4
382,385,5
386,397,4
399,427,5
430,449,6
450,454,5
455,458,6
459,466,5
467,468,6
469,479,5
480,499,6
500,528,5
530,534,6
535,538,5
539,545,6
546,,5
547,558,6
559,561,5
562,567,6
570,573,5
574,,6
575,,5
576,,6
577,,5
580,594,6
595,,7
596,597,6
598,599,7
600,638,5
639,,4
640,646,5
647,648,4
649,653,5
654,659,4
660,666,5
667,668,4
669,,5
670,676,4
677,,5
678,679,4
680,693,5
700,705,4
706,,3
707,709,4
710,711,3
712,732,4
733,,2
734,735,3
736,746,4
747,,3
748,749,4
750,757,3
758,,2
759,764,3
765,775,2
776,777,3
778,782,2
783,785,3
786,789,2
790,791,4
792,,3
793,794,4
795,797,3
798,799,4
800,820,5
821,,6
822,823,5
824,825,6
826,,5
827,828,6
829,830,5
831,834,6
835,,7
836,837,6
838,,7
840,844,6
845,,5
846,,6
847,874,5
875,885,4
889,938,6
939,960,7
961,,6
962,966,7
96700,,12
96701,,10
96702,96705,12
96706,96707,10
96708,,12
96709,,10
96710,,12
96711,96712,10
96713,96716,12
96717,,10
96718,96729,12
96730,96731,10
96732,96733,12
96734,,10
96735,96743,12
96744,,10
96745,96757,12
96758,96759,10
96760,96761,12
96762,,10
96763,96774,12
96775,,10
96776,96781,12
96782,,10
96783,96785,12
96786,,10
96787,96788,12
96789,,10
96790,,12
96791,96792,10
96793,,12
96794,96795,10
96796,,12
96797,,10
96798,96800,12
96801,96863,10
96864,96899,12
970,978,7
979,,6
980,994,7
99500,,11
99501,99524,9
99525,99539,11
99540,,11
99541,99566,11
99567,,9
99568,99576,11
99577,,9
99578,99610,11
99611,,9
99613,99634,11
99635,,9
99636,99644,11
99645,,9
99646,99700,11
99701,99703,9
99704,,11
99705,99712,9
99712,99774,11
99775,,9
99776,99800,11
99801,99803,9
99804,99810,11
99811,,9
99812,99820,11
99821,,9
99822,99968,11
99969,,9
99970,99999,11
