   104-01,FOLL 779 UNIV OF FLORIDA BKST,886 MUSEUM RD,HUB BLDG,GAINESVILLE,FL,326118450,03/28/2007,2007-03-28,0-9753503-0-7,,SILENT TESTING TIMER LSAT INCLUDES A FREE BONUS TIMER,29.95,-1,-17.67,2007-04-02
   814-01,B&N 456 UNIV ARK LITTLE ROCK BKST,,2801 S UNIVERSITY AVE,LITTLE ROCK,AR,72204    ,03/27/2007,2007-03-27,0-9753503-0-7,,SILENT TESTING TIMER LSAT INCLUDES A FREE BONUS TIMER,29.95,-4,-61.10,2007-04-02
  1464-01,B&N 320 CAMPUS BOOK EXCHANGE,,1408 N FIFTH,DURANT,OK,74701    ,03/28/2007,2007-03-28,0-9753503-0-7,,SILENT TESTING TIMER LSAT INCLUDES A FREE BONUS TIMER,29.95,-2,-30.55,2007-04-02
  2377-01,B&N 333 TEXAS WOMENS UNIV BOOKSTORE,BELL AVE,STUDENT CTR,DENTON,TX,762045709,03/23/2007,2007-03-23,0-9753503-0-7,,SILENT TESTING TIMER LSAT INCLUDES A FREE BONUS TIMER,29.95,-2,-30.55,2007-04-02
